name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Blank Space,1989,Taylor Swift,2014-01-01,231826,67,0.085,0.752,0.678,1.64e-06,0.13,-5.421,0.0646,96.009,4
Starving,Starving,Hailee Steinfeld,2016-07-22,181880,77,0.378,0.728,0.616,0.0,0.105,-4.238,0.0645,99.962,4
Story of My Life,Midnight Memories (Deluxe),One Direction,2013-11-25,245493,82,0.225,0.6,0.663,0.0,0.119,-5.802,0.0477,121.07,4
I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,83,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4
Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara,2015-11-13,230226,73,0.0285,0.573,0.739,0.0,0.111,-5.74,0.129,97.085,4
Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,83,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,82.695,4
Classic,MKTO,MKTO,2012,175426,85,0.0384,0.72,0.791,0.0,0.157,-4.689,0.124,102.071,4
What Makes You Beautiful,Up All Night,One Direction,2012-05-25,199986,83,0.009,0.726,0.787,0.0,0.0596,-2.494,0.0737,124.99,4
Payphone,Overexposed,Maroon 5,2012-01-01,231386,75,0.0136,0.739,0.756,0.0,0.37,-4.828,0.0394,110.028,4
Heart Attack,Demi,Demi Lovato,2013-01-01,210840,80,0.0738,0.504,0.785,0.0,0.239,-4.802,0.104,173.968,4
Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,85,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4
Beautiful People (feat. Khalid),No.6 Collaborations Project,Ed Sheeran,2019-07-12,197866,75,0.124,0.64,0.647,0.0,0.0801,-8.114,0.186,92.979,4
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,83,0.38,0.866,0.813,0.0,0.0779,-4.063,0.0554,121.998,4
Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,192120,80,0.109,0.73,0.703,0.0,0.0657,-5.672,0.0369,138.113,4
Shout Out to My Ex,Glory Days: The Platinum Edition,Little Mix,2017-11-24,246240,3,0.0239,0.773,0.747,8.23e-06,0.11,-4.061,0.0889,126.014,4
Baby,My World 2.0,Justin Bieber,2010-01-01,214240,80,0.0401,0.728,0.859,0.0,0.111,-5.237,0.137,65.043,4
Youngblood,Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,203417,81,0.0169,0.596,0.854,0.0,0.124,-5.114,0.463,120.274,4
Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,220734,82,0.0134,0.635,0.841,0.0,0.0622,-5.379,0.0422,109.021,4
