name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,83,0.38,0.866,0.813,0.0,0.0779,-4.063,0.0554,121.998,4
Rewrite The Stars (with James Arthur & Anne-Marie),The Greatest Showman: Reimagined,Various Artists,2018-11-16,218293,64,0.237,0.67,0.743,0.0,0.465,-4.993,0.0393,125.944,4
Maps,V (Deluxe),Maroon 5,2015-05-18,189960,60,0.0205,0.742,0.713,0.0,0.059,-5.522,0.0303,120.032,4
Arcade,Arcade,Duncan Laurence,2019-03-07,183624,83,0.818,0.45,0.329,0.00109,0.135,-12.603,0.0441,71.884,3
Story of My Life,Midnight Memories (Deluxe),One Direction,2013-11-25,245493,82,0.225,0.6,0.663,0.0,0.119,-5.802,0.0477,121.07,4
2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,82,0.0372,0.697,0.683,0.0,0.137,-2.881,0.117,96.133,4
Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,212733,75,0.239,0.715,0.605,1.41e-05,0.189,-5.128,0.0428,122.956,4
Counting Stars,Native,OneRepublic,2013-01-01,257266,84,0.0654,0.664,0.705,0.0,0.118,-4.972,0.0382,122.016,4
She Looks So Perfect,5 Seconds Of Summer,5 Seconds of Summer,2014-06-27,202496,72,0.000569,0.494,0.951,0.0,0.327,-4.237,0.132,160.025,4
Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,79,0.0152,0.746,0.754,0.0,0.0486,-6.684,0.0676,149.882,4
Superheroes,No Sound Without Silence,The Script,2014-09-15,245466,76,0.00218,0.49,0.885,0.0,0.0741,-4.121,0.0396,166.996,4
Polaroid,Blue,Jonas Blue,2018-11-09,193377,68,0.29,0.652,0.898,0.0,0.073,-4.481,0.0361,114.043,4
Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,231173,83,0.0188,0.743,0.752,0.0,0.287,-4.813,0.0414,110.015,4
Grenade,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,222091,79,0.148,0.704,0.558,0.0,0.107,-7.273,0.0542,110.444,4
Riptide,Dream Your Life Away,Vance Joy,2014-09-08,204280,81,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,101.654,4
Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara,2016-03-11,230226,79,0.0285,0.319,0.739,0.0,0.111,-5.74,0.272,194.169,4
Youngblood,Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,203417,81,0.0169,0.596,0.854,0.0,0.124,-5.114,0.463,120.274,4
Shake It Off,1989 (Deluxe),Taylor Swift,2014-01-01,219200,80,0.0647,0.647,0.8,0.0,0.334,-5.384,0.165,160.078,4
Shower,Shower,Becky G,2014-04-23,206166,78,0.0317,0.699,0.529,3.59e-05,0.285,-7.548,0.0487,119.987,4
Baby,My World 2.0,Justin Bieber,2010-01-01,214240,80,0.0401,0.728,0.859,0.0,0.111,-5.237,0.137,65.043,4
Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01,193400,79,0.0114,0.783,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,4
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,2018-05-10,207904,75,0.0945,0.601,0.724,1.68e-06,0.12,-4.856,0.0486,102.061,4
Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,220734,81,0.0134,0.635,0.841,0.0,0.0622,-5.379,0.0422,109.021,4
Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,80,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,116.967,4
The Middle,The Middle,Zedd,2018-01-23,184732,81,0.171,0.753,0.657,0.0,0.112,-3.061,0.0449,107.01,4
I Knew You Were Trouble.,Red (Big Machine Radio Release Special),Taylor Swift,2012-10-22,219720,78,0.00454,0.622,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,4
Set Fire to the Rain,21,Adele,2011-01-19,242973,4,0.00408,0.603,0.67,1.66e-06,0.112,-3.882,0.0249,107.995,4
Your Song,Phoenix (Deluxe Edition),Rita Ora,2018-11-23,180160,64,0.133,0.853,0.571,0.0,0.0564,-5.845,0.0543,117.991,4
TiK ToK,Animal (Expanded Edition),Kesha,2010-01-01,199693,81,0.0991,0.755,0.837,0.0,0.289,-2.718,0.142,120.028,4
Never Really Over,Never Really Over,Katy Perry,2019-05-31,223523,74,0.194,0.77,0.882,0.0,0.316,-4.792,0.0602,99.991,4
Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,83,0.106,0.444,0.819,0.0,0.107,-4.078,0.341,82.695,4
Geronimo,Bombs Away,Sheppard,2015-01-12,218227,70,0.456,0.705,0.78,0.00152,0.115,-6.267,0.0805,142.028,4
I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,76,0.0902,0.798,0.676,0.0,0.0894,-5.041,0.0442,101.956,4
Dynamite,The Rokstarr Hits Collection,Taio Cruz,2010-01-01,202613,81,0.00379,0.751,0.783,0.0,0.036,-3.724,0.0859,119.975,4
Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,187436,10,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,4
Happier,Happier,Marshmello,2018-08-17,214289,83,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,4
Lush Life,So Good,Zara Larsson,2017-03-17,201122,78,0.132,0.694,0.712,0.0,0.211,-3.923,0.046,98.023,4
High Hopes,Pray for the Wicked,Panic! At The Disco,2018-06-22,190946,82,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,4
Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,84,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,2019-01-18,178480,79,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,4
Summer Life,Summer Life,Regi,2019-06-14,193223,19,0.0361,0.672,0.825,0.0,0.373,-5.978,0.0387,124.025,4
All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,4
Without You (feat. Sandro Cavazza),AVĪCI (01),Avicii,2017-08-10,181672,78,0.00163,0.662,0.858,0.0,0.0456,-4.844,0.0428,133.993,4
